38	2023	Non-autoregressive Conditional Diffusion Models for Time Series Prediction	Recently, denoising diffusion models have led to significant breakthroughs in the generation of images, audio and text. However, it is still an open question on how to adapt their strong modeling ability to model time se
39	2019	A Generalized Framework of Sequence Generation with Application to Undirected Sequence Models	Undirected neural sequence models such as BERT (Devlin et al., 2019) have received renewed interest due to their success on discriminative natural language understanding tasks such as question-answering and natural langu
40	2023	Blackout Diffusion: Generative Diffusion Models in Discrete-State Spaces	Typical generative diffusion models rely on a Gaussian diffusion process for training the backward transformations, which can then be used to generate samples from Gaussian noise. However, real world data often takes pla
41	2024	Your Absorbing Discrete Diffusion Secretly Models the Conditional Distributions of Clean Data	Discrete diffusion models with absorbing processes have shown promise in language modeling. The key quantities to be estimated are the ratios between the marginal probabilities of two transitive states at all timesteps, 
42	2021	Autoregressive Denoising Diffusion Models for Multivariate Probabilistic\n Time Series Forecasting	In this work, we propose \\texttt{TimeGrad}, an autoregressive model for\nmultivariate probabilistic time series forecasting which samples from the data\ndistribution at each time step by estimating its gradient. To this
43	2026	Rethinking Token Prediction: Tree-Structured Diffusion Language Model	Discrete diffusion language models have emerged as a competitive alternative to auto-regressive language models, but training them efficiently under limited parameter and memory budgets remains challenging. Modern archit
44	2025	From Text to Talk: Audio-Language Model Needs Non-Autoregressive Joint Training	Recent advances in large language models (LLMs) have attracted significant interest in extending their capabilities to multimodal scenarios, particularly for speech-to-speech conversational systems. However, existing mul
45	2025	Planner and Executor: Collaboration between Discrete Diffusion And Autoregressive Models in Reasoning	Current autoregressive language models (ARMs) achieve high accuracy but require long token sequences, making them costly. Discrete diffusion language models (DDLMs) enable parallel and flexible generation within a fixed 
46	2020	Cascaded Text Generation with Markov Transformers	The two dominant approaches to neural text generation are fully autoregressive models, using serial beam search decoding, and non-autoregressive models, using parallel decoding with no output dependencies. This work prop
47	2022	Diffusion-based Time Series Imputation and Forecasting with Structured State Space Models	The imputation of missing values represents a significant obstacle for many real-world data analysis pipelines. Here, we focus on time series data and put forward SSSD, an imputation model that relies on two emerging tec
48	2024	Conditional [MASK] Discrete Diffusion Language Model	Although auto-regressive models excel in natural language processing, they often struggle to generate diverse text and provide limited controllability. Non-auto-regressive methods could be an alternative but often produc
49	2023	A Reparameterized Discrete Diffusion Model for Text Generation	This work studies discrete diffusion probabilistic models with applications to natural language generation. We derive an alternative yet equivalent formulation of the sampling from discrete diffusion processes and levera
50	2023	InfoDiffusion: Information Entropy Aware Diffusion Process for Non-Autoregressive Text Generation	Diffusion models have garnered considerable interest in the field of text generation. Several studies have explored text diffusion models with different structures and applied them to various tasks, including named entit
51	2023	Lformer: Text-to-Image Generation with L-shape Block Parallel Decoding	Generative transformers have shown their superiority in synthesizing high-fidelity and high-resolution images, such as good diversity and training stability. However, they suffer from the problem of slow generation since
52	2023	Protein Design with Guided Discrete Diffusion	A popular approach to protein design is to combine a generative model with a discriminative model for conditional sampling. The generative model samples plausible sequences while the discriminative model guides a search 
53	2025	How Do LLMs Acquire New Knowledge? A Knowledge Circuits Perspective on Continual Pre-Training	Despite exceptional capabilities in knowledge-intensive tasks, Large Language Models (LLMs) face a critical gap in understanding how they internalize new knowledge, particularly how to structurally embed acquired knowled
54	2025	Continual Learning of Large Language Models: A Comprehensive Survey	The challenge of effectively and efficiently adapting statically pre-trained Large Language Models (LLMs) to ever-evolving data distributions remains predominant. When tailored for specific needs, pre-trained LLMs often 
55	2026	TimpaTeks: Automatic In-place Text Sequence Modification via Diffusion Language Model Steering	We extend activation steering to diffusion language models (DLMs) and study a novel problem that arose due to the inference mechanism of DLMs: Modifying a text in-place to manifest a different concept. We propose TimpaTe
56	2026	Autoregressive vs. Masked Diffusion Language Models: A Controlled Comparison	We present a controlled empirical comparison between autoregressive (AR) and masked diffusion (MDLM) language models. Both models are trained on identical data (50M tokens from TinyStories), identical compute budget (20,
57	2026	A Continuous-Time Reinforcement Learning Framework for Fine-Tuning Discrete Diffusion Models	We formulate reinforcement learning (RL) in continuous time with discrete state spaces and possibly arbitrary action spaces via a stochastic control approach, where the state dynamics are modeled as a controlled continuo
58	2026	Bridging the Discrete-Continuous Gap: Unified Multimodal Generation via Coupled Manifold Discrete Absorbing Diffusion	The bifurcation of generative modeling into autoregressive approaches for discrete data (text) and diffusion approaches for continuous data (images) hinders the development of truly unified multimodal systems. While Mask
59	2024	Generation Meets Verification: Accelerating Large Language Model Inference with Smart Parallel Auto-Correct Decoding	This research aims to accelerate the inference speed of large language models (LLMs) with billions of parameters. We propose \textbf{S}mart \textbf{P}arallel \textbf{A}uto-\textbf{C}orrect d\textbf{E}coding (SPACE), an i
60	2026	Self-Rewarding Sequential Monte Carlo for Masked Diffusion Language Models	This work presents self-rewarding sequential Monte Carlo (SMC), an inference-time scaling algorithm enabling effective sampling of masked diffusion language models (MDLMs). Our algorithm stems from the observation that m
61	2025	Loopholing Discrete Diffusion: Deterministic Bypass of the Sampling Wall	Discrete diffusion models offer a promising alternative to autoregressive generation through parallel decoding, but they suffer from a sampling wall: once categorical sampling occurs, rich distributional information coll
62	2024	Falcon: Faster and Parallel Inference of Large Language Models through Enhanced Semi-Autoregressive Drafting and Custom-Designed Decoding Tree	Striking an optimal balance between minimal drafting latency and high speculation accuracy to enhance the inference speed of Large Language Models remains a significant challenge in speculative decoding. In this paper, w
63	2025	Learning Beyond the Surface: How Far Can Continual Pre-Training with LoRA Enhance LLMs' Domain-Specific Insight Learning?	Large Language Models (LLMs) have demonstrated remarkable performance on various tasks, yet their ability to extract and internalize deeper insights from domain-specific datasets remains underexplored. In this study, we 
64	2024	Continual Pre-Training for Cross-Lingual LLM Adaptation: Enhancing Japanese Language Capabilities	Cross-lingual continual pre-training of large language models (LLMs) initially trained on English corpus allows us to leverage the vast amount of English language resources and reduce the pre-training cost. In this study
65	2023	Likelihood-Based Diffusion Language Models	Despite a growing interest in diffusion-based language models, existing work has not shown that these models can attain nontrivial likelihoods on standard language modeling benchmarks. In this work, we take the first ste
66	2021	Glancing Transformer for Non-Autoregressive Neural Machine Translation	Lihua Qian, Hao Zhou, Yu Bao, Mingxuan Wang, Lin Qiu, Weinan Zhang, Yong Yu, Lei Li. Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on 
67	2023	Recyclable Tuning for Continual Pre-training	Continual pre-training is the paradigm where pre-trained language models (PLMs) continually acquire fresh knowledge from growing data and gradually get upgraded. Before an upgraded PLM is released, we may have tuned the 
68	2026	DELTA-TTS: Adapting Autoregressive Model into Diffusion Language Model for Text-to-Speech	Autoregressive (AR) text-to-speech (TTS) models generate discrete speech tokens sequentially, which makes inference slow and can degrade robustness, since local errors propagate to later positions and can escalate into h
69	2024	Simplified and Generalized Masked Diffusion for Discrete Data	Masked (or absorbing) diffusion is actively explored as an alternative to autoregressive models for generative modeling of discrete data. However, existing work in this area has been hindered by unnecessarily complex mod
70	2026	Primal-Dual Guided Decoding for Constrained Discrete Diffusion	Discrete diffusion models generate structured sequences by progressively unmasking tokens, but enforcing global property constraints during generation remains an open challenge. We propose primal-dual guided decoding, an
71	2026	Sumi: Open Uniform Diffusion Language Model from Scratch	Diffusion models have become a promising alternative to autoregressive models. Among these, uniform diffusion language models (UDLMs) permit any token to be updated at any step, in principle enabling more flexible genera
72	2025	Token-Based Audio Inpainting via Discrete Diffusion	Audio inpainting seeks to restore missing segments in degraded recordings. Previous diffusion-based methods exhibit impaired performance when the missing region is large. We introduce the first approach that applies disc
73	2025	Plan for Speed: Dilated Scheduling for Masked Diffusion Language Models	Masked diffusion language models (MDLMs) promise fast, non-autoregressive text generation, yet existing samplers, which pick tokens to unmask based on model confidence, ignore interactions when unmasking multiple positio
74	2021	SmBoP: Semi-autoregressive Bottom-up Semantic Parsing	The de-facto standard decoding method for semantic parsing in recent years has been to autoregressively decode the abstract syntax tree of the target program using a top-down depthfirst traversal. In this work, we propos
75	2023	Diffusion-NAT: Self-Prompting Discrete Diffusion for Non-Autoregressive Text Generation	Recently, continuous diffusion models (CDM) have been introduced into non-autoregressive (NAR) text-to-text generation. However, the discrete nature of text increases the difficulty of CDM to generate coherent and fluent
76	2025	Reinforcing the Diffusion Chain of Lateral Thought with Diffusion Language Models	We introduce the Diffusion Chain of Lateral Thought (DCoLT), a reasoning framework for diffusion language models. DCoLT treats each intermediate step in the reverse diffusion process as a latent "thinking" action and opt
77	2026	Reconsidering Positional Supervision in Masked Diffusion Language Model Training	Masked diffusion language models (MDLMs) generate text by unmasking tokens in parallel and have recently emerged as alternatives to autoregressive language models. They can be viewed as parallel decoders trained with a p
78	2026	Don't Retrain, Align: Adapting Autoregressive LMs to Diffusion LMs via Representation Alignment	Diffusion language models (DLMs) have recently demonstrated capabilities that complement standard autoregressive (AR) models, particularly in non-sequential generation and bidirectional editing. Although recent work has 
79	2026	Backdooring Masked Diffusion Language Models	Masked diffusion language models (MDLMs) are emerging as a compelling new paradigm for text generation, but their training-time security remains largely unexplored. Existing backdoor attacks on Gaussian diffusion models 
80	2021	Semi-Autoregressive Image Captioning	Current state-of-the-art approaches for image captioning typically adopt an autoregressive manner, i.e., generating descriptions word by word, which suffers from slow decoding issue and becomes a bottleneck in real-time 
81	2024	Construction of Domain-specified Japanese Large Language Model for Finance through Continual Pre-training	Large language models (LLMs) are now widely used in various fields, including finance. However, Japanese financial-specific LLMs have not been proposed yet. Hence, this study aims to construct a Japanese financial-specif
82	2026	Time-Annealed Perturbation Sampling: Diverse Generation for Diffusion Language Models	Diffusion language models (Diffusion-LMs) introduce an explicit temporal dimension into text generation, yet how this structure can be leveraged to control generation diversity for exploring multiple valid semantic or re
83	2025	DACP: Domain-Adaptive Continual Pre-Training of Large Language Models for Phone Conversation Summarization	Large language models (LLMs) have achieved impressive performance in text summarization, yet their performance often falls short when applied to specialized domains that differ from their original pre-training distributi
84	2022	Exploring Discrete Diffusion Models for Image Captioning	The image captioning task is typically realized by an auto-regressive method that decodes the text tokens one by one. We present a diffusion-based captioning model, dubbed the name DDCap, to allow more decoding flexibili
85	2026	LinkD: AutoRegressive Diffusion Model for Mechanical Linkage Synthesis	Designing mechanical linkages to achieve target end-effector trajectories presents a fundamental challenge due to the intricate coupling between continuous node placements, discrete topological configurations, and nonlin
86	2023	Mamba: Linear-Time Sequence Modeling with Selective State Spaces	Foundation models, now powering most of the exciting applications in deep learning, are almost universally based on the Transformer architecture and its core attention module. Many subquadratic-time architectures such as
87	2025	XLM: A Python package for non-autoregressive language models	In recent years, there has been a resurgence of interest in non-autoregressive text generation in the context of general language modeling. Unlike the well-established autoregressive language modeling paradigm, which has
88	2022	TransFusion: Transcribing Speech with Multinomial Diffusion	Diffusion models have shown exceptional scaling properties in the image synthesis domain, and initial attempts have shown similar benefits for applying diffusion to unconditional text synthesis. Denoising diffusion model
89	2026	NAVIRA: Decoupled Stochastic Remasking for Masked Diffusion Language Models	Masked diffusion language models generate text by iteratively unmasking many tokens in parallel, but this speed comes with a correction problem: tokens generated in the same step are predicted from marginal distributions
90	2021	Semi-Autoregressive Transformer for Image Captioning	Current state-of-the-art image captioning models adopt autoregressive decoders, \ie they generate each word by conditioning on previously generated words, which leads to heavy latency during inference. To tackle this iss
91	2026	Masked Diffusion Modeling for Anomaly Detection	Anomaly detection aims to identify samples that deviate from the nominal data distribution and is central to many safety-critical applications. However, developing effective anomaly detection methods for categorical, mix
92	2023	SSD-LM: Semi-autoregressive Simplex-based Diffusion Language Model for Text Generation and Modular Control	Despite the growing success of diffusion models in continuous-valued domains (e.g., images), similar efforts for discrete domains such as text have yet to match the performance of autoregressive language models. In this 
93	2026	UNIFUSION: Adapting Autoregressive Language Models into Discrete Diffusion under a Unified Reverse-Rate Objective	Existing methods mainly adapt pretrained autoregressive (AR) language models to masked diffusion, whereas we directly adapt them to uniform-noise diffusion, where every token remains editable during sampling. However, ad
94	2024	Text-Guided Molecule Generation with Diffusion Language Model	Text-guided molecule generation is a task where molecules are generated to match specific textual descriptions. Recently, most existing SMILES-based molecule generation methods rely on an autoregressive architecture. In 
95	2023	Efficient Continual Pre-training for Building Domain Specific Large Language Models	Large language models (LLMs) have demonstrated remarkable open-domain capabilities. LLMs tailored for a domain are typically trained entirely on domain corpus to excel at handling domain-specific tasks. In this work, we 
96	2026	Computer-Aided Design Generation by Cascaded Discrete Diffusion Model	Recent deep learning approaches seek to automate CAD creation by representing a model as a sequence of discrete commands and parameters, and then generating them using autoregressive models or continuous diffusion operat
97	2026	Diffutron: A Masked Diffusion Language Model for Turkish Language	Masked Diffusion Language Models (MDLMs) have emerged as a compelling non-autoregressive alternative to standard large language models; however, their application to morphologically rich languages remains limited. In thi
98	2024	Examining Forgetting in Continual Pre-training of Aligned Large Language Models	Recent advances in Large Language Models (LLMs) have exhibited remarkable proficiency across various tasks. Given the potent applications of LLMs in numerous fields, there has been a surge in LLM development. In developi
99	2024	Scaling Diffusion Language Models via Adaptation from Autoregressive Models	Diffusion Language Models (DLMs) have emerged as a promising new paradigm for text generative modeling, potentially addressing limitations of autoregressive (AR) models. However, current DLMs have been studied at a small
100	2018	Semi-Autoregressive Neural Machine Translation	Existing approaches to neural machine translation are typically autoregressive models. While these models attain state-of-the-art translation quality, they are suffering from low parallelizability and thus slow at decodi
101	2026	When to Review: Spaced Repetition for Continual Pre-Training of Language Models	Continual pre-training of large language models must acquire new information without erasing old knowledge. Existing replay methods often choose a global old/new mixture and sample uniformly, ignoring that examples diffe
102	2026	Embedding Inversion via Conditional Masked Diffusion Language Models	We frame embedding inversion as conditional masked diffusion, recovering all tokens in parallel through iterative denoising rather than sequential autoregressive generation. A masked diffusion language model is condition
103	2022	AutoTemplate: A Simple Recipe for Lexically Constrained Text Generation	Lexically constrained text generation is one of the constrained text generation tasks, which aims to generate text that covers all the given constraint lexicons. While the existing approaches tackle this problem using a 
104	2026	DSpark: Confidence-Scheduled Speculative Decoding with Semi-Autoregressive Generation	Speculative decoding accelerates Large Language Model (LLM) inference by decoupling draft generation from target verification. While recent parallel drafters efficiently propose long token sequences in a single forward p
105	2024	SeaDAG: Semi-autoregressive Diffusion for Conditional Directed Acyclic Graph Generation	We introduce SeaDAG, a semi-autoregressive diffusion model for conditional generation of Directed Acyclic Graphs (DAGs). Considering their inherent layer-wise structure, we simulate layer-wise autoregressive generation b
106	2024	Simple and Effective Masked Diffusion Language Models	While diffusion models excel at generating high-quality images, prior work reports a significant performance gap between diffusion and autoregressive (AR) methods in language modeling. In this work, we show that simple m
107	2024	Towards Effective and Efficient Continual Pre-training of Large Language Models	Continual pre-training (CPT) has been an important approach for adapting language models to specific domains or tasks. To make the CPT approach more traceable, this paper presents a technical report for continually pre-t
108	2024	Diffusion models in text generation: a survey	Diffusion models are a kind of math-based model that were first applied to image generation. Recently, they have drawn wide interest in natural language generation (NLG), a sub-field of natural language processing (NLP),
109	2021	Global Context with Discrete Diffusion in Vector Quantised Modelling for Image Generation	The integration of Vector Quantised Variational AutoEncoder (VQ-VAE) with autoregressive models as generation part has yielded high-quality results on image generation. However, the autoregressive models will strictly fo
110	2023	Long Text Generation Challenge	We propose a shared task of human-like long text generation, LTG Challenge, that asks models to output a consistent human-like long text (a Harry Potter generic audience fanfic in English), given a prompt of about 1000 t
111	2026	Diffusion Language Model for Recommendation	Large language model (LLM)-empowered recommender systems have emerged as a promising paradigm for generative recommendation, leveraging their strong semantic reasoning and generative capacity to model complex, diverse us
112	2026	Scaling Beyond Masked Diffusion Language Models	Diffusion language models are a promising alternative to autoregressive models due to their potential for faster generation. Among discrete diffusion approaches, Masked diffusion currently dominates, largely driven by st
113	2026	Conditional generation of antibody sequences with classifier-guided germline-absorbing discrete diffusion	Antibody therapeutics are among the most successful modern medicines, yet computationally designing antibodies with desirable binding and developability properties remains challenging. While protein language models (pLMs
114	2021	Span Pointer Networks for Non-Autoregressive Task-Oriented Semantic Parsing	An effective recipe for building seq2seq, non-autoregressive, task-oriented parsers to map utterances to semantic frames proceeds in three steps: encoding an utterance $x$, predicting a frame's length |y|, and decoding a
115	2024	LLaMA-MoE: Building Mixture-of-Experts from LLaMA with Continual Pre-training	Mixture-of-Experts (MoE) has gained increasing popularity as a promising framework for scaling up large language models (LLMs). However, training MoE from scratch in a large-scale setting still suffers from data-hungry a
116	2025	Absorb and Converge: Provable Convergence Guarantee for Absorbing Discrete Diffusion Models	Discrete state space diffusion models have shown significant advantages in applications involving discrete data, such as text and image generation. It has also been observed that their performance is highly sensitive to 
117	2023	Diffusion Models for Non-autoregressive Text Generation: A Survey	Non-autoregressive (NAR) text generation has attracted much attention in the field of natural language processing, which greatly reduces the inference latency but has to sacrifice the generation accuracy. Recently, diffu
118	2021	Autoregressive Diffusion Models	We introduce Autoregressive Diffusion Models (ARDMs), a model class encompassing and generalizing order-agnostic autoregressive models (Uria et al., 2014) and absorbing discrete diffusion (Austin et al., 2021), which we 
119	2024	$\textit{Jump Your Steps}$: Optimizing Sampling Schedule of Discrete Diffusion Models	Diffusion models have seen notable success in continuous domains, leading to the development of discrete diffusion models (DDMs) for discrete variables. Despite recent advances, DDMs face the challenge of slow sampling s
120	2025	Inferix: A Block-Diffusion based Next-Generation Inference Engine for World Simulation	World models serve as core simulators for fields such as agentic AI, embodied AI, and gaming, capable of generating long, physically realistic, and interactive high-quality videos. Moreover, scaling these models could un
121	2026	Interpolating Discrete Diffusion Models with Controllable Resampling	Discrete diffusion models form a powerful class of generative models across diverse domains, including text and graphs. However, existing approaches face fundamental limitations. Masked diffusion models suffer from irrev
122	2024	G2D2: Gradient-Guided Discrete Diffusion for Inverse Problem Solving	Recent literature has effectively leveraged diffusion models trained on continuous variables as priors for solving inverse problems. Notably, discrete diffusion models with discrete latent codes have shown strong perform
123	2025	Split Gibbs Discrete Diffusion Posterior Sampling	We study the problem of posterior sampling in discrete-state spaces using discrete diffusion models. While posterior sampling methods for continuous diffusion models have achieved remarkable progress, analogous methods f
124	2026	Uniform Diffusion Models Revisited: Leave-One-Out Denoiser and Absorbing State Reformulation	Discrete diffusion models are often trained through clean-data prediction, but the prediction can be used in different ways to define the reverse dynamics. In Masked Diffusion Models (MDM) these choices largely coincide,
125	2023	QUERT: Continual Pre-training of Language Model for Query Understanding in Travel Domain Search	In light of the success of the pre-trained language models (PLMs), continual pre-training of generic PLMs has been the paradigm of domain adaption. In this paper, we propose QUERT, A Continual Pre-trained Language Model 
126	2024	Convergence Analysis of Discrete Diffusion Model: Exact Implementation through Uniformization	Diffusion models have achieved huge empirical success in data generation tasks. Recently, some efforts have been made to adapt the framework of diffusion models to discrete state space, providing a more natural approach 
127	2025	Continuously Augmented Discrete Diffusion model for Categorical Generative Modeling	Standard discrete diffusion models treat all unobserved states identically by mapping them to an absorbing [MASK] token. This creates an 'information void' where semantic information that could be inferred from unmasked 
128	2026	Edit-Based Refinement for Parallel Masked Diffusion Language Models	Masked diffusion language models enable parallel token generation and offer improved decoding efficiency over autoregressive models. However, their performance degrades significantly when generating multiple tokens simul
129	2019	Non-autoregressive Transformer by Position Learning	Non-autoregressive models are promising on various text generation tasks. Previous work hardly considers to explicitly model the positions of generated words. However, position modeling is an essential problem in non-aut
130	2026	Diffusion In Diffusion: Reclaiming Global Coherence in Semi-Autoregressive Diffusion	One of the most compelling features of global discrete diffusion language models is their global bidirectional contextual capability. However, existing block-based diffusion studies tend to introduce autoregressive prior
131	2023	EcomGPT-CT: Continual Pre-training of E-commerce Large Language Models with Semi-structured Data	Large Language Models (LLMs) pre-trained on massive corpora have exhibited remarkable performance on various NLP tasks. However, applying these models to specific domains still poses significant challenges, such as lack 
132	2026	How to Train Your Latent Diffusion Language Model Jointly With the Latent Space	Latent diffusion models offer an attractive alternative to discrete diffusion for non-autoregressive text generation by operating on continuous text representations and denoising entire sequences in parallel. The major c
